Sales Dashboard
Last updated,January 25 2026 3:14:25 PM PST

Filter Selection
Date,Custom
Sales breakdown,Marketplace total
Fulfillment Channel,Both (Amazon and seller)

Sales Snapshot
Total Order Items,Units Ordered,Ordered Product Sales,Average units/order item,Average sales/order item
60,76,"$1,737.79",1.27,28.96
Compare Sales - Graph view
Time,Selected date range (Ordered product sales),Selected date range (Units ordered),Same date range one year ago (Ordered product sales),Same date range one year ago (Units ordered)
2025-11-01T00:00:00,"$69.48",3.0,"$0.00",0.0
2025-11-02T00:00:00,"$0.00",0.0,"$0.00",0.0
2025-11-03T00:00:00,"$0.00",0.0,"$0.00",0.0
2025-11-04T00:00:00,"$0.00",0.0,"$0.00",0.0
2025-11-05T00:00:00,"$0.00",0.0,"$0.00",0.0
2025-11-06T00:00:00,"$0.00",0.0,"$0.00",0.0
2025-11-07T00:00:00,"$45.54",2.0,"$0.00",0.0
2025-11-08T00:00:00,"$0.00",0.0,"$0.00",0.0
2025-11-09T00:00:00,"$22.77",1.0,"$0.00",0.0
2025-11-10T00:00:00,"$22.77",1.0,"$0.00",0.0
2025-11-11T00:00:00,"$42.86",2.0,"$0.00",0.0
2025-11-12T00:00:00,"$0.00",0.0,"$0.00",0.0
2025-11-13T00:00:00,"$99.96",4.0,"$0.00",0.0
2025-11-14T00:00:00,"$0.00",0.0,"$0.00",0.0
2025-11-15T00:00:00,"$0.00",0.0,"$0.00",0.0
2025-11-16T00:00:00,"$24.99",1.0,"$0.00",0.0
2025-11-17T00:00:00,"$24.79",1.0,"$0.00",0.0
2025-11-18T00:00:00,"$49.58",2.0,"$0.00",0.0
2025-11-19T00:00:00,"$38.22",2.0,"$0.00",0.0
2025-11-20T00:00:00,"$19.11",1.0,"$0.00",0.0
2025-11-21T00:00:00,"$76.44",4.0,"$0.00",0.0
2025-11-22T00:00:00,"$57.33",3.0,"$0.00",0.0
2025-11-23T00:00:00,"$57.33",3.0,"$0.00",0.0
2025-11-24T00:00:00,"$19.11",1.0,"$0.00",0.0
2025-11-25T00:00:00,"$0.00",0.0,"$0.00",0.0
2025-11-26T00:00:00,"$0.00",0.0,"$0.00",0.0
2025-11-27T00:00:00,"$0.00",0.0,"$0.00",0.0
2025-11-28T00:00:00,"$47.98",2.0,"$0.00",0.0
2025-11-29T00:00:00,"$0.00",0.0,"$0.00",0.0
2025-11-30T00:00:00,"$0.00",0.0,"$0.00",0.0
2025-12-01T00:00:00,"$47.98",2.0,"$0.00",0.0
2025-12-02T00:00:00,"$47.98",2.0,"$0.00",0.0
2025-12-03T00:00:00,"$21.89",1.0,"$0.00",0.0
2025-12-04T00:00:00,"$0.00",0.0,"$0.00",0.0
2025-12-05T00:00:00,"$43.78",2.0,"$0.00",0.0
2025-12-06T00:00:00,"$0.00",0.0,"$0.00",0.0
2025-12-07T00:00:00,"$65.67",3.0,"$0.00",0.0
2025-12-08T00:00:00,"$0.00",0.0,"$0.00",0.0
2025-12-09T00:00:00,"$19.89",1.0,"$0.00",0.0
2025-12-10T00:00:00,"$19.89",1.0,"$0.00",0.0
2025-12-11T00:00:00,"$39.78",2.0,"$0.00",0.0
2025-12-12T00:00:00,"$39.78",2.0,"$0.00",0.0
2025-12-13T00:00:00,"$59.67",3.0,"$0.00",0.0
2025-12-14T00:00:00,"$0.00",0.0,"$0.00",0.0
2025-12-15T00:00:00,"$0.00",0.0,"$0.00",0.0
