H10 Cerebro >>  ,,f,KW 3+ Relv,30187,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jungle Scout >>  ,,f,KW 3+ Relv,0,,,,,,,,,,,,Sellerise >>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cerebro,,,Already on Target List:,FALSE,,,,,,,,,,ZonGuru >>  ,,ZonGuru,,,Already on Target List:,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brand Analytics >>  ,,,,,,,,,,,,,,,,,,Opp Explorer >>  ,,,,,,,,,Search Query Report >>  ,,,,,,,,,,,,,,,,,,,,,Custom List >>  ,,,,,,,,,,,,,Magnet >>  ,,,,,,,,,,,,,,,,Jungle Scout,,,Already on Target List:,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Select Alpha ASINs: ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,Select Alpha ASINs: ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Select Alpha ASINs: ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Score Thresh  ,30,Top 10 % of Tot  ,0.00%,74.11%,53.20%,31.25%,66.75%,15.57%,9.72%,62.52%,31.25%,9.70%,,,,Score Thresh  ,30,Top 10 % of Tot  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Score Thresh  ,30,Top 10 % of Tot  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Score Min  ,3,Top 10 Search Vol  ,0,"22,371","16,059","9,432","20,149","4,700","2,934","18,873","9,434","2,928",,,,Score Min  ,3,Top 10 Search Vol  ,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Score Min  ,3,Top 10 Search Vol  ,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Alpha Thresh  ,10,Top 30 % of Tot  ,0.00%,82.25%,66.14%,87.12%,77.79%,76.53%,43.64%,71.96%,64.74%,77.76%,,,,Alpha Thresh  ,10,Top 30 % of Tot  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,Already on Target List,,,,,,,,,,,,,,,,FALSE,Already on Target List,,,,,,,,FALSE,Already on Target List,,,,,,,,,,,,,,,,,,,FALSE,Already on Target List,,,,,,,,,,,,,FALSE,Already on Target List,,,,,,,,,,,,,,Alpha Thresh  ,10,Top 30 % of Tot  ,,,,,,,,,,,,,FALSE,Already on Target List,,,,,,,,,,,,,,,,,,,,,,,,,,,
, ,,,,Top 30 Search Vol  ,0,"24,828","19,966","26,299","23,481","23,102","13,174","21,722","19,544","23,474",,,,,,Top 30 Search Vol  ,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,Top 30 Search Vol  ,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Brand: ,,Double Wood Supplements,Nature's Fusions,Peak Performance,Toniiq,SugarMD,Luma Nutrition,Nutricost,Pure Nootropics,Black Forest,,,,,,Brand: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brand: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Click Here for Advanced Listing 
Tool Training by Upscale Valley",Input Alternate Names: ,,,,,,,,,,,,,,,,Input Alternate Names: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Input Alternate Names: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total Branded SV: ,,"3,888",0,"1,213","2,372",386,"5,794","17,383",0,"22,580",,,,,,Total Branded SV: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total Branded SV: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Revenue: ,,"97,200","38,142","56,614","44,123","35,133","623,303","56,398","4,280","17,869",,,,,,Revenue: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Revenue: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
