Hour,Sun,Mon,Tue,Wed,Thu,Fri,Sat
12AM,453,562,486,412,482,506,422
1AM,228,203,215,175,200,220,181
2AM,110,95,127,87,102,91,92
3AM,75,69,85,58,64,75,53
4AM,35,57,61,70,69,49,40
5AM,70,90,110,97,76,76,66
6AM,159,176,273,242,208,161,137
7AM,337,413,473,425,440,326,345
8AM,692,559,641,516,581,480,613
9AM,948,657,727,539,596,624,746
10AM,908,672,803,628,636,731,839
11AM,1273,889,802,675,690,883,918
12PM,1576,934,699,575,735,1013,856
1PM,1331,839,623,568,719,939,661
2PM,1077,919,675,788,752,802,644
3PM,835,1065,917,929,801,839,769
4PM,879,917,946,797,797,629,797
5PM,832,802,830,828,585,665,692
6PM,859,889,650,933,574,690,612
7PM,934,943,677,954,791,674,598
8PM,894,956,792,1012,920,749,536
9PM,629,1091,1212,1204,1030,956,599
10PM,603,929,890,927,816,811,516
11PM,462,693,475,516,548,750,427
