Hour,Sun,Mon,Tue,Wed,Thu,Fri,Sat
12AM,100372,113724,110243,106743,106005,119618,105550
1AM,51709,46618,55730,51714,50616,63138,55399
2AM,29413,32615,31547,29610,26846,32545,32031
3AM,18220,21787,21558,20788,15607,23702,19450
4AM,13251,15492,17692,17801,13298,18511,15200
5AM,16096,20468,26261,24146,19736,22735,18039
6AM,33563,50951,64446,56703,46872,47489,38989
7AM,71548,95783,115904,104917,87998,87989,84403
8AM,140037,125763,143656,107822,111205,120278,126331
9AM,203130,121598,156071,94405,113874,129601,169013
10AM,130880,94900,161870,98197,120108,143708,200445
11AM,213310,154358,160052,104640,117152,142141,152450
12PM,236599,161095,146033,90242,123074,149096,130509
1PM,180099,130613,91371,84441,123067,132109,115065
2PM,156766,159997,92103,141438,107724,120898,107773
3PM,123297,145308,128605,153779,109922,116775,134108
4PM,127129,153309,137811,114254,105179,99703,122841
5PM,120540,133099,118268,120973,92427,98677,114207
6PM,110431,128840,103711,122907,95294,97958,97424
7PM,122858,136113,100716,127080,131645,103367,99655
8PM,106024,130435,121930,139834,143646,118450,95099
9PM,81539,148911,166229,159221,143144,139859,97105
10PM,72968,122937,116004,121979,121921,126875,78374
11PM,48165,92722,70992,75541,81294,112282,63427
